n,r,m
(:Artwork {name: 《天河配》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 《天河配》}),[:USES_COMPOSITION],(:Composition {name: 横向展开，分层布局})
(:Artwork {name: 《天河配》}),[:DEPICTS],(:Figure {name: 儿童})
(:Artwork {name: 《天河配》}),[:DEPICTS],(:Figure {name: 仙女})
(:Artwork {name: 《天河配》}),[:CONTAINS],(:Object {name: 桥梁})
(:Artwork {name: 《天河配》}),[:CONTAINS],(:Object {name: 亭台楼阁})
(:Artwork {name: 《天河配》}),[:CONTAINS],(:Object {name: 荷花})
(:Figure {name: 织女}),[:IS_A],(:FigureAttribute {name: 仙女})
(:Figure {name: 织女}),[:HAS_FEATURE],(:Feature {name: 美丽、飘逸})
(:Figure {name: 织女}),[:WEARS],(:Costume {name: 华丽的衣裳})
(:Figure {name: 织女}),[:HAS_POSE],(:Pose {name: 站立、手持物品})
(:Figure {name: 牛郎}),[:IS_A],(:FigureAttribute {name: 凡人})
(:Figure {name: 牛郎}),[:HAS_FEATURE],(:Feature {name: 朴实、坚毅})
(:Figure {name: 牛郎}),[:WEARS],(:Costume {name: 简单的衣裳})
(:Figure {name: 牛郎}),[:HAS_POSE],(:Pose {name: 行走、怀抱儿童})
(:Figure {name: 儿童}),[:HAS_FEATURE],(:Feature {name: 天真、可爱})
(:Figure {name: 儿童}),[:WEARS],(:Costume {name: 传统童装})
(:Figure {name: 儿童}),[:HAS_POSE],(:Pose {name: 被牛郎怀抱})
(:Figure {name: 仙女}),[:IS_A],(:FigureAttribute {name: 仙女})
(:Figure {name: 仙女}),[:HAS_FEATURE],(:Feature {name: 优雅、飘逸})
(:Figure {name: 仙女}),[:WEARS],(:Costume {name: 轻盈的衣裳})
(:Figure {name: 仙女}),[:HAS_POSE],(:Pose {name: 飞行、舞动})
(:Object {name: 亭台楼阁}),[:HAS_PROPERTY],(:Property {name: 精巧、古典})
(:Object {name: 荷花}),[:HAS_PROPERTY],(:Property {name: 盛开、美丽})
(:Artwork {name: 陈光瑞(蕊)龙宫招亲}),[:HAS_THEME],(:Theme {name: 龙宫招亲})
(:Artwork {name: 陈光瑞(蕊)龙宫招亲}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 陈光瑞(蕊)龙宫招亲}),[:USES_COMPOSITION],(:Composition {name: 对称布局，中央为宫殿，两侧为人物和祥云})
(:Artwork {name: 陈光瑞(蕊)龙宫招亲}),[:DEPICTS],(:Figure {name: 陈光瑞})
(:Artwork {name: 陈光瑞(蕊)龙宫招亲}),[:DEPICTS],(:Figure {name: 龙王})
(:Artwork {name: 陈光瑞(蕊)龙宫招亲}),[:DEPICTS],(:Figure {name: 龙女})
(:Artwork {name: 陈光瑞(蕊)龙宫招亲}),[:DEPICTS],(:Figure {name: 侍从})
(:Artwork {name: 陈光瑞(蕊)龙宫招亲}),[:CONTAINS],(:Object {name: 宫殿})
(:Artwork {name: 陈光瑞(蕊)龙宫招亲}),[:CONTAINS],(:Object {name: 祥云})
(:Figure {name: 陈光瑞}),[:IS_A],(:FigureAttribute {name: 男主角})
(:Figure {name: 陈光瑞}),[:HAS_FEATURE],(:Feature {name: 年轻英俊})
(:Figure {name: 陈光瑞}),[:WEARS],(:Costume {name: 古代官服})
(:Figure {name: 陈光瑞}),[:HAS_POSE],(:Pose {name: 站立})
(:Figure {name: 龙王}),[:IS_A],(:FigureAttribute {name: 龙宫之主})
(:Figure {name: 龙王}),[:HAS_FEATURE],(:Feature {name: 威严庄重})
(:Figure {name: 龙王}),[:HAS_POSE],(:Pose {name: 端坐})
(:Figure {name: 龙女}),[:IS_A],(:FigureAttribute {name: 女主角})
(:Figure {name: 龙女}),[:HAS_FEATURE],(:Feature {name: 美丽温柔})
(:Figure {name: 龙女}),[:WEARS],(:Costume {name: 华丽衣裳})
(:Figure {name: 龙女}),[:HAS_POSE],(:Pose {name: 站立})
(:Figure {name: 侍从}),[:IS_A],(:FigureAttribute {name: 随从})
(:Figure {name: 侍从}),[:HAS_FEATURE],(:Feature {name: 恭敬有礼})
(:Figure {name: 侍从}),[:WEARS],(:Costume {name: 统一制服})
(:Object {name: 宫殿}),[:HAS_PROPERTY],(:Property {name: 宏伟壮观})
(:Object {name: 祥云}),[:HAS_PROPERTY],(:Property {name: 飘逸灵动})
(:Artwork {name: 纣王宠妲己}),[:HAS_THEME],(:Theme {name: 纣王与妲己的故事})
(:Artwork {name: 纣王宠妲己}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 纣王宠妲己}),[:USES_COMPOSITION],(:Composition {name: 对称布局，中央突出主要场景，两侧为辅助场景})
(:Artwork {name: 纣王宠妲己}),[:DEPICTS],(:Figure {name: 纣王})
(:Artwork {name: 纣王宠妲己}),[:DEPICTS],(:Figure {name: 侍女})
(:Artwork {name: 纣王宠妲己}),[:DEPICTS],(:Figure {name: 大臣})
(:Artwork {name: 纣王宠妲己}),[:CONTAINS],(:Object {name: 宝座})
(:Artwork {name: 纣王宠妲己}),[:CONTAINS],(:Object {name: 屏风})
(:Artwork {name: 纣王宠妲己}),[:CONTAINS],(:Object {name: 树木})
(:Figure {name: 纣王}),[:IS_A],(:FigureAttribute {name: 君王})
(:Figure {name: 纣王}),[:HAS_FEATURE],(:Feature {name: 威严、端坐})
(:Figure {name: 纣王}),[:WEARS],(:Costume {name: 龙袍})
(:Figure {name: 纣王}),[:HAS_POSE],(:Pose {name: 坐在宝座上})
(:Figure {name: 妲己}),[:IS_A],(:FigureAttribute {name: 妃子})
(:Figure {name: 妲己}),[:HAS_FEATURE],(:Feature {name: 美貌、妖娆})
(:Figure {name: 妲己}),[:WEARS],(:Costume {name: 华丽宫装})
(:Figure {name: 妲己}),[:HAS_POSE],(:Pose {name: 站立在纣王旁边})
(:Figure {name: 侍女}),[:HAS_FEATURE],(:Feature {name: 恭敬、年轻})
(:Figure {name: 侍女}),[:WEARS],(:Costume {name: 统一的侍女服})
(:Figure {name: 侍女}),[:HAS_POSE],(:Pose {name: 站立或跪拜})
(:Figure {name: 大臣}),[:IS_A],(:FigureAttribute {name: 朝臣})
(:Figure {name: 大臣}),[:HAS_FEATURE],(:Feature {name: 严肃、年长})
(:Figure {name: 大臣}),[:WEARS],(:Costume {name: 官袍})
(:Figure {name: 大臣}),[:HAS_POSE],(:Pose {name: 站立或跪拜})
(:Object {name: 宝座}),[:HAS_PROPERTY],(:Property {name: 高大、华丽})
(:Object {name: 屏风}),[:HAS_PROPERTY],(:Property {name: 精美雕刻})
(:Artwork {name: 三盗芭蕉扇}),[:HAS_THEME],(:Theme {name: 三盗芭蕉扇})
(:Artwork {name: 三盗芭蕉扇}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 三盗芭蕉扇}),[:USES_COMPOSITION],(:Composition {name: 横向展开，人物与自然景观结合})
(:Artwork {name: 三盗芭蕉扇}),[:DEPICTS],(:Figure {name: 童子})
(:Artwork {name: 三盗芭蕉扇}),[:DEPICTS],(:Figure {name: 侍女})
(:Artwork {name: 三盗芭蕉扇}),[:CONTAINS],(:Object {name: 芭蕉扇})
(:Artwork {name: 三盗芭蕉扇}),[:CONTAINS],(:Object {name: 桥梁})
(:Artwork {name: 三盗芭蕉扇}),[:CONTAINS],(:Object {name: 松树})
(:Figure {name: 孙悟空}),[:HAS_FEATURE],(:Feature {name: 猴脸，手持金箍棒})
(:Figure {name: 孙悟空}),[:WEARS],(:Costume {name: 传统猴王服饰})
(:Figure {name: 孙悟空}),[:HAS_POSE],(:Pose {name: 站立，动作敏捷})
(:Figure {name: 牛魔王}),[:IS_A],(:FigureAttribute {name: 神话人物})
(:Figure {name: 牛魔王}),[:HAS_FEATURE],(:Feature {name: 牛角，威严表情})
(:Figure {name: 牛魔王}),[:WEARS],(:Costume {name: 古代官服})
(:Figure {name: 牛魔王}),[:HAS_POSE],(:Pose {name: 端坐，手持扇子})
(:Figure {name: 铁扇公主}),[:IS_A],(:FigureAttribute {name: 神话人物})
(:Figure {name: 铁扇公主}),[:HAS_FEATURE],(:Feature {name: 美丽，手持芭蕉扇})
(:Figure {name: 铁扇公主}),[:WEARS],(:Costume {name: 华丽女装})
(:Figure {name: 铁扇公主}),[:HAS_POSE],(:Pose {name: 站立，姿态优雅})
(:Figure {name: 童子}),[:HAS_FEATURE],(:Feature {name: 幼小，天真})
(:Figure {name: 童子}),[:WEARS],(:Costume {name: 简单童装})
(:Figure {name: 侍女}),[:IS_A],(:FigureAttribute {name: 神话人物})
(:Figure {name: 侍女}),[:HAS_FEATURE],(:Feature {name: 美丽，温婉})
(:Figure {name: 侍女}),[:WEARS],(:Costume {name: 传统女仆装})
(:Figure {name: 侍女}),[:HAS_POSE],(:Pose {name: 站立，姿态恭敬})
(:Figure {name: 牛魔王}),[:HOLDS],(:Object {name: 扇子})
(:Figure {name: 铁扇公主}),[:HOLDS],(:Object {name: 芭蕉扇})
(:Object {name: 芭蕉扇}),[:HAS_MATERIAL],(:Material {name: 未知（图像未显示具体材质）})
(:Object {name: 芭蕉扇}),[:HAS_PROPERTY],(:Property {name: 大型，可折叠})
(:Object {name: 松树}),[:HAS_PROPERTY],(:Property {name: 高大，枝叶繁茂})
(:Artwork {name: 选元戎}),[:HAS_THEME],(:Theme {name: 秦英挂帅双狮会})
(:Artwork {name: 选元戎}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 选元戎}),[:USES_COMPOSITION],(:Composition {name: 对称布局，中央突出主要人物，两侧分布其他角色和场景})
(:Artwork {name: 选元戎}),[:DEPICTS],(:Figure {name: 侍女})
(:Artwork {name: 选元戎}),[:DEPICTS],(:Figure {name: 士兵})
(:Artwork {name: 选元戎}),[:DEPICTS],(:Figure {name: 狮子})
(:Artwork {name: 选元戎}),[:CONTAINS],(:Object {name: 旗帜})
(:Artwork {name: 选元戎}),[:CONTAINS],(:Object {name: 宝剑})
(:Artwork {name: 选元戎}),[:CONTAINS],(:Object {name: 战袍})
(:Figure {name: 秦英}),[:IS_A],(:FigureAttribute {name: 主帅})
(:Figure {name: 秦英}),[:HAS_FEATURE],(:Feature {name: 威武雄壮})
(:Figure {name: 秦英}),[:WEARS],(:Costume {name: 古代军装})
(:Figure {name: 秦英}),[:HAS_POSE],(:Pose {name: 端坐于中央，手持令旗})
(:Figure {name: 侍女}),[:HAS_FEATURE],(:Feature {name: 温婉柔美})
(:Figure {name: 侍女}),[:WEARS],(:Costume {name: 古代侍女服饰})
(:Figure {name: 士兵}),[:IS_A],(:FigureAttribute {name: 军人})
(:Figure {name: 士兵}),[:HAS_FEATURE],(:Feature {name: 勇猛刚毅})
(:Figure {name: 士兵}),[:HAS_POSE],(:Pose {name: 持武器站立或行进})
(:Figure {name: 狮子}),[:IS_A],(:FigureAttribute {name: 神兽})
(:Figure {name: 狮子}),[:HAS_FEATURE],(:Feature {name: 威风凛凛})
(:Figure {name: 狮子}),[:HAS_POSE],(:Pose {name: 跳跃或舞动})
(:Figure {name: 秦英}),[:HOLDS],(:Object {name: 宝剑})
(:Object {name: 战袍}),[:HAS_MATERIAL],(:Material {name: 布料})
(:Object {name: 战袍}),[:HAS_PROPERTY],(:Property {name: 坚固耐用，图案象征身份})
(:Artwork {name: 《狄仁杰赶考》}),[:HAS_THEME],(:Theme {name: 狄仁杰赶考故事})
(:Artwork {name: 《狄仁杰赶考》}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 《狄仁杰赶考》}),[:USES_COMPOSITION],(:Composition {name: 多场景组合构图})
(:Artwork {name: 《狄仁杰赶考》}),[:DEPICTS],(:Figure {name: 书童})
(:Artwork {name: 《狄仁杰赶考》}),[:DEPICTS],(:Figure {name: 店小二})
(:Artwork {name: 《狄仁杰赶考》}),[:DEPICTS],(:Figure {name: 女子})
(:Artwork {name: 《狄仁杰赶考》}),[:CONTAINS],(:Object {name: 马})
(:Artwork {name: 《狄仁杰赶考》}),[:CONTAINS],(:Object {name: 桌子})
(:Artwork {name: 《狄仁杰赶考》}),[:CONTAINS],(:Object {name: 椅子})
(:Artwork {name: 《狄仁杰赶考》}),[:CONTAINS],(:Object {name: 茶壶})
(:Artwork {name: 《狄仁杰赶考》}),[:CONTAINS],(:Object {name: 茶杯})
(:Figure {name: 狄仁杰}),[:IS_A],(:FigureAttribute {name: 考生})
(:Figure {name: 狄仁杰}),[:HAS_FEATURE],(:Feature {name: 身穿长袍，头戴巾帽})
(:Figure {name: 狄仁杰}),[:WEARS],(:Costume {name: 古代士子服装})
(:Figure {name: 狄仁杰}),[:HAS_POSE],(:Pose {name: 站立或行走})
(:Figure {name: 书童}),[:IS_A],(:FigureAttribute {name: 随从})
(:Figure {name: 书童}),[:HAS_FEATURE],(:Feature {name: 年轻，手持物品})
(:Figure {name: 书童}),[:WEARS],(:Costume {name: 古代仆从服装})
(:Figure {name: 书童}),[:HAS_POSE],(:Pose {name: 跟随狄仁杰})
(:Figure {name: 店小二}),[:IS_A],(:FigureAttribute {name: 店家服务员})
(:Figure {name: 店小二}),[:HAS_FEATURE],(:Feature {name: 忙碌，手持托盘})
(:Figure {name: 店小二}),[:WEARS],(:Costume {name: 古代店小二服装})
(:Figure {name: 店小二}),[:HAS_POSE],(:Pose {name: 行走或服务状})
(:Figure {name: 女子}),[:IS_A],(:FigureAttribute {name: 店中客人或店主家人})
(:Figure {name: 女子}),[:HAS_FEATURE],(:Feature {name: 端庄，手持或靠近物品})
(:Figure {name: 女子}),[:WEARS],(:Costume {name: 古代女性服装})
(:Figure {name: 女子}),[:HAS_POSE],(:Pose {name: 站立或坐着})
(:Figure {name: 狄仁杰}),[:HOLDS],(:Object {name: 书籍或文房四宝})
(:Figure {name: 书童}),[:HOLDS],(:Object {name: 行李或包裹})
(:Object {name: 马}),[:HAS_PROPERTY],(:Property {name: 古代交通工具})
(:Object {name: 椅子}),[:HAS_PROPERTY],(:Property {name: 供人坐用})
(:Object {name: 茶壶}),[:HAS_PROPERTY],(:Property {name: 用于泡茶})
(:Object {name: 茶杯}),[:HAS_PROPERTY],(:Property {name: 用于喝茶})
(:Artwork {name: 杨妃醉酒}),[:HAS_THEME],(:Theme {name: 杨贵妃醉酒})
(:Artwork {name: 杨妃醉酒}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 杨妃醉酒}),[:USES_COMPOSITION],(:Composition {name: 庭院布局，人物分散于不同场景})
(:Artwork {name: 杨妃醉酒}),[:CONTAINS],(:Object {name: 酒杯})
(:Artwork {name: 杨妃醉酒}),[:CONTAINS],(:Object {name: 桌子})
(:Artwork {name: 杨妃醉酒}),[:CONTAINS],(:Object {name: 椅子})
(:Artwork {name: 杨妃醉酒}),[:CONTAINS],(:Object {name: 屏风})
(:Figure {name: 杨贵妃}),[:HAS_FEATURE],(:Feature {name: 丰腴美貌，醉态朦胧})
(:Figure {name: 杨贵妃}),[:HAS_POSE],(:Pose {name: 倚靠在侍女身上，手持酒杯})
(:Figure {name: 杨贵妃}),[:HOLDS],(:Object {name: 酒杯})
(:Figure {name: 侍女1}),[:WEARS],(:Costume {name: 古代侍女服饰})
(:Figure {name: 侍女1}),[:HAS_POSE],(:Pose {name: 站立，手持物品})
(:Figure {name: 侍女2}),[:HAS_FEATURE],(:Feature {name: 端庄秀丽})
(:Figure {name: 侍女2}),[:WEARS],(:Costume {name: 古代侍女服饰})
(:Figure {name: 侍女2}),[:HAS_POSE],(:Pose {name: 站立，手持物品})
(:Figure {name: 侍女3}),[:HAS_FEATURE],(:Feature {name: 端庄秀丽})
(:Figure {name: 侍女3}),[:WEARS],(:Costume {name: 古代侍女服饰})
(:Figure {name: 侍女3}),[:HAS_POSE],(:Pose {name: 站立，手持物品})
(:Figure {name: 侍女4}),[:HAS_FEATURE],(:Feature {name: 端庄秀丽})
(:Figure {name: 侍女4}),[:WEARS],(:Costume {name: 古代侍女服饰})
(:Figure {name: 侍女4}),[:HAS_POSE],(:Pose {name: 站立，手持物品})
(:Figure {name: 侍女5}),[:HAS_FEATURE],(:Feature {name: 端庄秀丽})
(:Figure {name: 侍女5}),[:WEARS],(:Costume {name: 古代侍女服饰})
(:Figure {name: 侍女5}),[:HAS_POSE],(:Pose {name: 站立，手持物品})
(:Figure {name: 侍女6}),[:HAS_FEATURE],(:Feature {name: 端庄秀丽})
(:Figure {name: 侍女6}),[:WEARS],(:Costume {name: 古代侍女服饰})
(:Figure {name: 侍女6}),[:HAS_POSE],(:Pose {name: 站立，手持物品})
(:Object {name: 酒杯}),[:HAS_PROPERTY],(:Property {name: 精致小巧})
(:Object {name: 桌子}),[:HAS_PROPERTY],(:Property {name: 古朴典雅})
(:Object {name: 屏风}),[:HAS_MATERIAL],(:Material {name: 木质和绢布})
(:Object {name: 屏风}),[:HAS_PROPERTY],(:Property {name: 精美雕刻和绘画})
(:Artwork {name: 卸甲封王}),[:HAS_THEME],(:Theme {name: 卸甲封王})
(:Artwork {name: 卸甲封王}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 卸甲封王}),[:USES_COMPOSITION],(:Composition {name: 对称布局，中央突出主要人物，两侧分布其他人物和装饰})
(:Artwork {name: 卸甲封王}),[:DEPICTS],(:Figure {name: 中央主要人物})
(:Artwork {name: 卸甲封王}),[:DEPICTS],(:Figure {name: 左侧站立人物1})
(:Artwork {name: 卸甲封王}),[:DEPICTS],(:Figure {name: 左侧站立人物2})
(:Artwork {name: 卸甲封王}),[:DEPICTS],(:Figure {name: 右侧站立人物1})
(:Artwork {name: 卸甲封王}),[:DEPICTS],(:Figure {name: 右侧站立人物2})
(:Artwork {name: 卸甲封王}),[:DEPICTS],(:Figure {name: 前排跪坐人物})
(:Artwork {name: 卸甲封王}),[:CONTAINS],(:Object {name: 屏风})
(:Artwork {name: 卸甲封王}),[:CONTAINS],(:Object {name: 香炉})
(:Artwork {name: 卸甲封王}),[:CONTAINS],(:Object {name: 花瓶})
(:Figure {name: 中央主要人物}),[:IS_A],(:FigureAttribute {name: 尊贵的王者或高官})
(:Figure {name: 中央主要人物}),[:HAS_FEATURE],(:Feature {name: 身穿华丽服饰，头戴冠帽，表情庄重})
(:Figure {name: 中央主要人物}),[:WEARS],(:Costume {name: 传统官服，色彩鲜艳，绣有图案})
(:Figure {name: 中央主要人物}),[:HAS_POSE],(:Pose {name: 端坐于高位，姿态威严})
(:Figure {name: 左侧站立人物1}),[:IS_A],(:FigureAttribute {name: 侍从或官员})
(:Figure {name: 左侧站立人物1}),[:HAS_FEATURE],(:Feature {name: 身穿官服，手持笏板，表情恭敬})
(:Figure {name: 左侧站立人物1}),[:WEARS],(:Costume {name: 传统官服，颜色较深})
(:Figure {name: 左侧站立人物1}),[:HAS_POSE],(:Pose {name: 站立，面向中央人物，姿态恭敬})
(:Figure {name: 左侧站立人物2}),[:IS_A],(:FigureAttribute {name: 侍从或官员})
(:Figure {name: 左侧站立人物2}),[:HAS_FEATURE],(:Feature {name: 身穿官服，手持物品，表情专注})
(:Figure {name: 左侧站立人物2}),[:WEARS],(:Costume {name: 传统官服，颜色较浅})
(:Figure {name: 左侧站立人物2}),[:HAS_POSE],(:Pose {name: 站立，面向中央人物，姿态端正})
(:Figure {name: 右侧站立人物1}),[:IS_A],(:FigureAttribute {name: 侍从或官员})
(:Figure {name: 右侧站立人物1}),[:HAS_FEATURE],(:Feature {name: 身穿官服，手持物品，表情专注})
(:Figure {name: 右侧站立人物1}),[:WEARS],(:Costume {name: 传统官服，颜色较深})
(:Figure {name: 右侧站立人物1}),[:HAS_POSE],(:Pose {name: 站立，面向中央人物，姿态恭敬})
(:Figure {name: 右侧站立人物2}),[:IS_A],(:FigureAttribute {name: 侍从或官员})
(:Figure {name: 右侧站立人物2}),[:HAS_FEATURE],(:Feature {name: 身穿官服，手持物品，表情专注})
(:Figure {name: 右侧站立人物2}),[:WEARS],(:Costume {name: 传统官服，颜色较浅})
(:Figure {name: 右侧站立人物2}),[:HAS_POSE],(:Pose {name: 站立，面向中央人物，姿态端正})
(:Figure {name: 前排跪坐人物}),[:IS_A],(:FigureAttribute {name: 被封赏者})
(:Figure {name: 前排跪坐人物}),[:HAS_FEATURE],(:Feature {name: 身穿官服，手持笏板，表情谦恭})
(:Figure {name: 前排跪坐人物}),[:WEARS],(:Costume {name: 传统官服，颜色适中})
(:Figure {name: 前排跪坐人物}),[:HAS_POSE],(:Pose {name: 跪坐，面向中央人物，姿态谦卑})
(:Object {name: 屏风}),[:HAS_PROPERTY],(:Property {name: 雕刻精美，图案复杂})
(:Object {name: 香炉}),[:HAS_MATERIAL],(:Material {name: 铜质})
(:Object {name: 香炉}),[:HAS_PROPERTY],(:Property {name: 造型古朴，烟雾缭绕})
(:Object {name: 花瓶}),[:HAS_PROPERTY],(:Property {name: 形状优雅，装饰花纹})
(:Artwork {name: 梅杏联姻}),[:HAS_THEME],(:Theme {name: 梅杏联姻})
(:Artwork {name: 梅杏联姻}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 梅杏联姻}),[:USES_COMPOSITION],(:Composition {name: 多层次布局，人物众多，场景丰富})
(:Artwork {name: 梅杏联姻}),[:DEPICTS],(:Figure {name: 新郎})
(:Artwork {name: 梅杏联姻}),[:DEPICTS],(:Figure {name: 新娘})
(:Artwork {name: 梅杏联姻}),[:DEPICTS],(:Figure {name: 宾客})
(:Artwork {name: 梅杏联姻}),[:DEPICTS],(:Figure {name: 乐师})
(:Artwork {name: 梅杏联姻}),[:CONTAINS],(:Object {name: 乐器})
(:Artwork {name: 梅杏联姻}),[:CONTAINS],(:Object {name: 礼器})
(:Figure {name: 新郎}),[:HAS_FEATURE],(:Feature {name: 身穿官服，头戴冠帽})
(:Figure {name: 新郎}),[:WEARS],(:Costume {name: 官服})
(:Figure {name: 新郎}),[:HAS_POSE],(:Pose {name: 站立，面带微笑})
(:Figure {name: 新娘}),[:IS_A],(:FigureAttribute {name: 女性})
(:Figure {name: 新娘}),[:HAS_FEATURE],(:Feature {name: 身穿凤冠霞帔，手持团扇})
(:Figure {name: 新娘}),[:WEARS],(:Costume {name: 凤冠霞帔})
(:Figure {name: 新娘}),[:HAS_POSE],(:Pose {name: 端坐，姿态优雅})
(:Figure {name: 宾客}),[:IS_A],(:FigureAttribute {name: 男女老少})
(:Figure {name: 宾客}),[:HAS_FEATURE],(:Feature {name: 穿着各式传统服饰，表情各异})
(:Figure {name: 宾客}),[:WEARS],(:Costume {name: 传统服饰})
(:Figure {name: 宾客}),[:HAS_POSE],(:Pose {name: 或站或坐，姿态各异})
(:Figure {name: 乐师}),[:IS_A],(:FigureAttribute {name: 演奏者})
(:Figure {name: 乐师}),[:HAS_FEATURE],(:Feature {name: 手持乐器，专注演奏})
(:Figure {name: 乐师}),[:WEARS],(:Costume {name: 传统服饰})
(:Figure {name: 乐师}),[:HAS_POSE],(:Pose {name: 演奏姿态})
(:Figure {name: 乐师}),[:HOLDS],(:Object {name: 乐器})
(:Object {name: 乐器}),[:HAS_MATERIAL],(:Material {name: 木质、金属})
(:Object {name: 乐器}),[:HAS_PROPERTY],(:Property {name: 形状各异，用于演奏})
(:Object {name: 礼器}),[:HAS_MATERIAL],(:Material {name: 陶瓷、金属})
(:Object {name: 礼器}),[:HAS_PROPERTY],(:Property {name: 用于祭祀或礼仪场合})
(:Artwork {name: 长亭见（饯）别}),[:HAS_THEME],(:Theme {name: 离别场景})
(:Artwork {name: 长亭见（饯）别}),[:USES_COLOR_PALETTE],(:ColorPalette {name: 黑白})
(:Artwork {name: 长亭见（饯）别}),[:USES_COMPOSITION],(:Composition {name: 对称布局，中央突出人物，两侧建筑环绕})
(:Artwork {name: 长亭见（饯）别}),[:DEPICTS],(:Figure {name: 女子A})
(:Artwork {name: 长亭见（饯）别}),[:DEPICTS],(:Figure {name: 男子B})
(:Artwork {name: 长亭见（饯）别}),[:DEPICTS],(:Figure {name: 侍女C})
(:Artwork {name: 长亭见（饯）别}),[:DEPICTS],(:Figure {name: 侍女D})
(:Artwork {name: 长亭见（饯）别}),[:DEPICTS],(:Figure {name: 侍女E})
(:Artwork {name: 长亭见（饯）别}),[:DEPICTS],(:Figure {name: 侍女F})
(:Artwork {name: 长亭见（饯）别}),[:DEPICTS],(:Figure {name: 侍女G})
(:Artwork {name: 长亭见（饯）别}),[:DEPICTS],(:Figure {name: 侍女H})
(:Artwork {name: 长亭见（饯）别}),[:CONTAINS],(:Object {name: 长亭})
(:Artwork {name: 长亭见（饯）别}),[:CONTAINS],(:Object {name: 栏杆})
(:Artwork {name: 长亭见（饯）别}),[:CONTAINS],(:Object {name: 台阶})
(:Artwork {name: 长亭见（饯）别}),[:CONTAINS],(:Object {name: 树木})
(:Artwork {name: 长亭见（饯）别}),[:CONTAINS],(:Object {name: 桥梁})
(:Artwork {name: 长亭见（饯）别}),[:CONTAINS],(:Object {name: 建筑})
(:Figure {name: 女子A}),[:IS_A],(:FigureAttribute {name: 主要人物})
(:Figure {name: 女子A}),[:HAS_FEATURE],(:Feature {name: 手持折扇，表情凝重})
(:Figure {name: 女子A}),[:WEARS],(:Costume {name: 传统汉服，衣袂飘逸})
(:Figure {name: 女子A}),[:HAS_POSE],(:Pose {name: 站立，面向男子B})
(:Figure {name: 男子B}),[:IS_A],(:FigureAttribute {name: 主要人物})
(:Figure {name: 男子B}),[:HAS_FEATURE],(:Feature {name: 手持书卷，神情忧郁})
(:Figure {name: 男子B}),[:WEARS],(:Costume {name: 传统汉服，衣着整洁})
(:Figure {name: 男子B}),[:HAS_POSE],(:Pose {name: 站立，面向女子A})
(:Figure {name: 侍女C}),[:IS_A],(:FigureAttribute {name: 随从})
(:Figure {name: 侍女C}),[:HAS_FEATURE],(:Feature {name: 手持物品，目光注视前方})
(:Figure {name: 侍女C}),[:WEARS],(:Costume {name: 传统服饰，简洁大方})
(:Figure {name: 侍女C}),[:HAS_POSE],(:Pose {name: 站立，伴随女子A})
(:Figure {name: 侍女D}),[:IS_A],(:FigureAttribute {name: 随从})
(:Figure {name: 侍女D}),[:HAS_FEATURE],(:Feature {name: 手持物品，目光注视前方})
(:Figure {name: 侍女D}),[:WEARS],(:Costume {name: 传统服饰，简洁大方})
(:Figure {name: 侍女D}),[:HAS_POSE],(:Pose {name: 站立，伴随女子A})
(:Figure {name: 侍女E}),[:IS_A],(:FigureAttribute {name: 随从})
(:Figure {name: 侍女E}),[:HAS_FEATURE],(:Feature {name: 手持物品，目光注视前方})
(:Figure {name: 侍女E}),[:WEARS],(:Costume {name: 传统服饰，简洁大方})
(:Figure {name: 侍女E}),[:HAS_POSE],(:Pose {name: 站立，伴随男子B})
(:Figure {name: 侍女F}),[:IS_A],(:FigureAttribute {name: 随从})
(:Figure {name: 侍女F}),[:HAS_FEATURE],(:Feature {name: 手持物品，目光注视前方})
(:Figure {name: 侍女F}),[:WEARS],(:Costume {name: 传统服饰，简洁大方})
(:Figure {name: 侍女F}),[:HAS_POSE],(:Pose {name: 站立，伴随男子B})
(:Figure {name: 侍女G}),[:IS_A],(:FigureAttribute {name: 随从})
(:Figure {name: 侍女G}),[:HAS_FEATURE],(:Feature {name: 手持物品，目光注视前方})
(:Figure {name: 侍女G}),[:WEARS],(:Costume {name: 传统服饰，简洁大方})
(:Figure {name: 侍女G}),[:HAS_POSE],(:Pose {name: 站立，伴随女子A})
(:Figure {name: 侍女H}),[:IS_A],(:FigureAttribute {name: 随从})
(:Figure {name: 侍女H}),[:HAS_FEATURE],(:Feature {name: 手持物品，目光注视前方})
(:Figure {name: 侍女H}),[:WEARS],(:Costume {name: 传统服饰，简洁大方})
(:Figure {name: 侍女H}),[:HAS_POSE],(:Pose {name: 站立，伴随男子B})
